name,location,start_date,end_date
Tomorrowland,Putrajaya,11/4/2025,15/04/2025
Outside Lands,Caoxi,20/5/2025,02/06/2025
Burning Man,Totok,6/12/2025,18/12/2025
Glastonbury,Baishi,30/3/2025,11/04/2025
Rock in Rio,Kliwon Cibingbin,20/5/2025,25/05/2025
Download Festival,Karangtawar,27/2/2025,02/03/2025
Sziget Festival,Göteborg,15/7/2025,24/07/2025
Lollapalooza,White River,8/9/2025,09/09/2025
Firefly Music Festival,Linglong,17/3/2025,24/03/2025
Primavera Sound,Sancha,2/10/2025,16/10/2025
Glastonbury,Shuangyuan,16/10/2025,19/10/2025
Coachella,Wingham,23/7/2025,31/07/2025
Reading Festival,Cernache do Bonjardim,10/12/2025,15/12/2025
Lollapalooza,Kerek,25/11/2025,30/11/2025
Ultra Music Festival,Bhāndāria,2/9/2025,08/09/2025
Reading Festival,Wringinputih,27/4/2025,08/05/2025
Firefly Music Festival,Igbo-Ukwu,7/8/2025,10/08/2025
Burning Man,Pimentel,1/5/2025,13/05/2025
Primavera Sound,Sandefjord,12/8/2025,22/08/2025
Download Festival,Linamon,4/8/2025,14/08/2025
Rock in Rio,Seattle,3/12/2025,10/12/2025
Osheaga,Ban Talat Bueng,12/10/2025,22/10/2025
Primavera Sound,Darungan,4/11/2025,18/11/2025
Governors Ball,Maradabangga,29/5/2025,04/06/2025
Burning Man,Pulo,5/12/2025,07/12/2025
